Query ID,Query,Intent Detected,Understand LLM Escalated,Decide Route,Retrieval Passes,Final Retrieval Coverage,Validation Action,Validation Confidence,Total Runtime MS,Total LLM Calls,Budget Cap Hit,Chunks Used,History,Manual Pass/Fail
1,What products does CittaAI offer?,SEARCH,LLM,clarification,0,0.00,NONE,0.00,26210,1,YES,0,UNDERSTAND(SUCCESS:26210ms) -> FINISH(SUCCESS:0ms),
2,Show me your product list,LIST,LLM,clarification,0,0.00,NONE,0.00,84146,1,NO,0,UNDERSTAND(SUCCESS:84146ms) -> CLARIFY(SUCCESS:0ms),
3,What products do you have?,LIST,LLM,clarification,0,0.00,NONE,0.00,4830,1,NO,0,UNDERSTAND(SUCCESS:4830ms) -> CLARIFY(SUCCESS:0ms),
4,List products,LIST,DETERMINISTIC,deterministic,3,0.33,NONE,0.00,43794,1,YES,5,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:165ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:80ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:87ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:43461ms) -> FINISH(SUCCESS:0ms),
5,What are your products?,LIST,LLM,clarification,0,0.00,NONE,0.00,5868,1,NO,0,UNDERSTAND(SUCCESS:5868ms) -> CLARIFY(SUCCESS:0ms),
6,Products offered by CittaAI,SEARCH,LLM,clarification,0,0.00,NONE,0.00,9318,1,NO,0,UNDERSTAND(SUCCESS:9318ms) -> CLARIFY(SUCCESS:0ms),
7,CittaAI flagship products,SEARCH,LLM,clarification,0,0.00,NONE,0.00,12459,1,NO,0,UNDERSTAND(SUCCESS:12459ms) -> CLARIFY(SUCCESS:0ms),
8,Show CittaAI products,LIST,LLM,clarification,0,0.00,NONE,0.00,5632,1,YES,0,UNDERSTAND(SUCCESS:5632ms) -> FINISH(SUCCESS:0ms),
9,What platforms does CittaAI offer?,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8161,1,YES,0,UNDERSTAND(SUCCESS:8161ms) -> FINISH(SUCCESS:0ms),
10,Tell me about your product catalog,SEARCH,LLM,clarification,0,0.00,NONE,0.00,5279,1,NO,0,UNDERSTAND(SUCCESS:5279ms) -> CLARIFY(SUCCESS:0ms),
11,List of CittaAI products,LIST,DETERMINISTIC,deterministic,3,0.35,NONE,0.00,70674,1,YES,5,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:106ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:97ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:98ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:70371ms) -> FINISH(SUCCESS:0ms),
12,Flagship products list,LIST,DETERMINISTIC,deterministic,3,0.32,NONE,0.00,70049,1,YES,5,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:94ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:90ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:94ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:69770ms) -> FINISH(SUCCESS:0ms),
13,Give me a list of your products,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8233,1,YES,0,UNDERSTAND(SUCCESS:8233ms) -> FINISH(SUCCESS:0ms),
14,Tell me about products,SEARCH,LLM,clarification,0,0.00,NONE,0.00,5006,1,NO,0,UNDERSTAND(SUCCESS:5006ms) -> CLARIFY(SUCCESS:0ms),
15,What are the products of CittaAI?,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8213,1,YES,0,UNDERSTAND(SUCCESS:8213ms) -> FINISH(SUCCESS:0ms),
16,What services do you provide?,ASK,LLM,clarification,0,0.00,NONE,0.00,9178,1,NO,0,UNDERSTAND(SUCCESS:9178ms) -> CLARIFY(SUCCESS:0ms),
17,Show me your services,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8135,1,YES,0,UNDERSTAND(SUCCESS:8135ms) -> FINISH(SUCCESS:0ms),
18,List services,LIST,DETERMINISTIC,deterministic,3,0.00,NONE,0.00,8432,1,YES,0,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:48ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:47ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:52ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:8284ms) -> FINISH(SUCCESS:0ms),
19,What services do you offer?,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8384,1,YES,0,UNDERSTAND(SUCCESS:8384ms) -> FINISH(SUCCESS:0ms),
20,What are your professional services?,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8401,1,YES,0,UNDERSTAND(SUCCESS:8400ms) -> FINISH(SUCCESS:0ms),
21,CittaAI services catalog,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8547,1,YES,0,UNDERSTAND(SUCCESS:8547ms) -> FINISH(SUCCESS:0ms),
22,Services offered by CittaAI,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,68940,1,YES,0,UNDERSTAND(SUCCESS:68940ms) -> FINISH(SUCCESS:0ms),
23,Show CittaAI services,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8298,1,YES,0,UNDERSTAND(SUCCESS:8298ms) -> FINISH(SUCCESS:0ms),
24,What advisory capabilities do you have?,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8771,1,YES,0,UNDERSTAND(SUCCESS:8771ms) -> FINISH(SUCCESS:0ms),
25,Tell me about your consulting services,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8578,1,YES,0,UNDERSTAND(SUCCESS:8578ms) -> FINISH(SUCCESS:0ms),
26,List of CittaAI services,LIST,DETERMINISTIC,deterministic,3,0.00,NONE,0.00,9246,1,YES,0,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:84ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:72ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:81ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:9007ms) -> FINISH(SUCCESS:0ms),
27,Professional services list,LIST,DETERMINISTIC,deterministic,3,0.00,NONE,0.00,10067,1,YES,0,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:70ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:65ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:62ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:9867ms) -> FINISH(SUCCESS:0ms),
28,Give me a list of your services,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,9903,1,YES,0,UNDERSTAND(SUCCESS:9903ms) -> FINISH(SUCCESS:0ms),
29,Tell me about services,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,9644,1,YES,0,UNDERSTAND(SUCCESS:9643ms) -> FINISH(SUCCESS:0ms),
30,What are the services of CittaAI?,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8466,1,YES,0,UNDERSTAND(SUCCESS:8466ms) -> FINISH(SUCCESS:0ms),
31,List products,LIST,DETERMINISTIC,deterministic,3,0.33,NONE,0.00,8700,1,YES,5,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:70ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:73ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:82ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:8473ms) -> FINISH(SUCCESS:0ms),
32,List services,LIST,DETERMINISTIC,deterministic,3,0.00,NONE,0.00,9394,1,YES,0,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:53ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:47ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:46ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:9246ms) -> FINISH(SUCCESS:0ms),
33,Show offerings,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,9524,1,YES,0,UNDERSTAND(SUCCESS:9524ms) -> FINISH(SUCCESS:0ms),
34,Count case studies,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8815,1,YES,0,UNDERSTAND(SUCCESS:8815ms) -> FINISH(SUCCESS:0ms),
35,How many services?,COUNT,DETERMINISTIC,deterministic,3,0.00,NONE,0.00,9790,1,YES,0,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:64ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:72ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:69ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:9582ms) -> FINISH(SUCCESS:0ms),
36,Show all products,LIST,DETERMINISTIC,deterministic,3,0.32,NONE,0.00,10761,1,YES,5,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:89ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:95ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:91ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:10483ms) -> FINISH(SUCCESS:0ms),
37,List solutions,LIST,DETERMINISTIC,deterministic,3,0.35,NONE,0.00,9594,1,YES,1,UNDERSTAND(SUCCESS:0ms) -> DECIDE(SUCCESS:0ms) -> PLAN(SUCCESS:0ms) -> RETRIEVE(SUCCESS:53ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:57ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> RETRIEVE(SUCCESS:50ms) -> ENOUGH_CHECK(SUCCESS:0ms) -> COMPOSE(SUCCESS:9432ms) -> FINISH(SUCCESS:0ms),
38,Count blogs,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8784,1,YES,0,UNDERSTAND(SUCCESS:8783ms) -> FINISH(SUCCESS:0ms),
39,Recommend the best product,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8189,1,YES,0,UNDERSTAND(SUCCESS:8188ms) -> FINISH(SUCCESS:0ms),
40,Compare AI Studio vs Chatbot,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,9887,1,YES,0,UNDERSTAND(SUCCESS:9887ms) -> FINISH(SUCCESS:0ms),
41,What solution fits healthcare?,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,9559,1,YES,0,UNDERSTAND(SUCCESS:9559ms) -> FINISH(SUCCESS:0ms),
42,Summarize your manufacturing offerings,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,9020,1,YES,0,UNDERSTAND(SUCCESS:9020ms) -> FINISH(SUCCESS:0ms),
43,Why should I choose CittaAI?,ASK,DETERMINISTIC,clarification,0,0.00,NONE,0.00,8504,1,YES,0,UNDERSTAND(SUCCESS:8504ms) -> FINISH(SUCCESS:0ms),
